Name0__Img0__0m0																																				
	I wonder what Name1 is doing right now.	I miss them.	I'm very excited for our date today.	Why is no one coming to my stall?																																
		Continue			Continue																															
Name0__Img0__0a0																																				
	Where is Name1?	They should be here by now.	Wait a minute, I saw Name4 talking to Name2. Were they not coming from the farm? They were supposed to help Name1...	Name1 could have also come and talked to me. I'm not sure what to do.																																
		Bitter																																		
			If they don't want to ask for my help, and just stands me up; then that's on them.	I'm going to go home, this is stupid																																
				Continue	0a0_0																															
		Considerate																																		
			They do have their whole farm to harvest if Name4 isn't helping. I'll close this down and go see if I can help them.																																	
				Continue	0a0_1																															
Name0__Img0__0e0																																				
	I still can't believe Name1 stood me up. 	I don't have any good friends in this town. I should just move away.																																		
		Hate																																		
			Fuck all of them.	No one came to my stall.	I have no friends.	They don't care about me. I'm going to move!																														
				Continue	0e0_0																															
		Forgiveness																																		
			Name1 did have a lot of work to do today. I still feel upset that they didn't come talk to me.	But I shouldn't make such a rash decision being this upset.	Still, screw Name4 if didn't go and help them like they said they would.	I'll go talk to Name1 tomorrow about how I feel.																														
				Continue	0e0_1																															
Name0__Img0__0e1																																				
	I'm so glad I came to help Name1. Honestly this is kind of fun.	Still can't believe Name4 didn't come to help.																																		
		Continue																																		
Name0__Img0__0n0																																				
	This is good. Probably...	A new start, somewhere I can actually make friends.	Ugh. Name1 didn't come see me, Name 4 ignored me, Name2 was right across the way and didn't even say hi.																																	
		Anger																																		
			They are all assholes. All of them.	You know what will be fun?	Tomorrow before I head out, I'll go around and tell them all to screw themselves!																															
				Continue	0n0_0																															
		Come to Terms																																		
			I mean. They are all busy.	Well except Name4.	I did tell Name1 that I couldn't help because I was busy with my stall...	That no one came to...	*Sigh* I'll think about moving away. But maybe I should talk with Name1 about it tomorrow.																													
				Continue	0n0_1																															
		Monophobia (Fear of being alone)																																		
			I can't be alone... I can't start over.	What am I doing?!	I need to tell Name1 how I feel.	Tomorrow morning, I'm going to march over there and ask them to marry me!	A desperate plea for marriage because you don't want to be alone always goes over smoothly...																													
				*It doesn't* - Continue	0n0_2																															
Name0__Img0_Sleep__0n1																																				
	Name1, I love you.	I'm so sorry Name1 didn't come and help.	Whoa, you're riding a giant bird?! can I join?	EEEEEAAAAAGLE!																																
		Continue																																		
Name0__Img0_Sleep__0n2																																				
	This is nice.	Name1, I'm so lucky.	We should go to the bluffs tomorrow since Name1's farm is taken care of.																																	
		Continue																																		
Name1__Img1__1m0																																				
	Where is Name4!?	I'm not going to be able to get all this work done by myself	It's too bad Name0 is busy with their stall.	It would be nice to hang out with them.	Oh no! We were supposed to meet later! I got to hurry with this.																															
		Continue																																		
Name1__Img1__1a0																																				
	This is too much work. I won't be able to get it done.	I won't finish this in time.	Name4 is so inconsiderate.																																	
		Resignation																																		
			I shouldn't have trusted name4. I know they aren't reliable. But I did tell them how important this was.	Well, I'm not going to be able to finish this to go see Name0, I'm not even sure I'll be able to finish before the cold kills the whole field.																																
				Continue	1a0_0																															
		Calm																																		
			*Breath* It'll be ok.	The work will get done when it gets done.	I'll try to make it up to Name0 as soon as I can.																															
				Continue	1a0_1																															
		Hate																																		
			Fuck Name4.	You know what, Name0 should also have been here if they cared about me.	I have to harvest this whole field by myself.	I'm so irate right now. I'm not usually get so upset.	Must just mean that I'm being treated so badly.																													
				Continue	1a0_2																															
Name1__Img1__1e0																																				
	This is great.	We are making really good time, and this is much more enjoyable with Name0.	I should ask them to stay over after we are done.																																	
		Continue																																		
Name1__Img1__1e1																																				
	I'm so tired.	I'm trying my best, but I'm just not getting it done.	Next season, I'm only planting half my field.																																	
		Dispair																																		
			This is over. I know when I'm beat.	I'm going to bed... I'm sorry grandma. I feel as though your faith in me handling the farm was misplaced.																																
				Continue	1e1_0																															
		Resolve																																		
			No, after today I can sleep for a week. I just need to get this done!																																	
				Continue	1e1_1																															
Name1__Img1_Sleep__1n0																																				
	Grandma... I'm sorry.	I tried my best.	You don't deserve a grandchild like me.																																	
		Continue																																		
Name1__Img1_Sleep__1n1																																				
	We got it done.	We did it.	Name0 is the best.																																	
		Continue																																		
Name1__Img1_Sleep__1n2																																				
	They don't have any thoughts right now.	They are completely wiped out.																																		
		Continue																																		
Name1__Img1__01e0																																				
	"Why are you upset with me? I told you I had this entire field to harvest."																																			
		continue																																		
			Name0__Img0__"You said you were going to meet me at the martket. I was just waiting there."	"You stood me up."																																
				Continue																																
					Name1__Img1__"I'm sorry, but look at this field I have so much more to go!"																															
						Continue																														
							Name0__Img0__"I... uhh"																													
								Anger																												
									"Fine, plow your field"																											
										Continue																										
											Name1__Img1__"Harvest."																									
												Continue																								
													Name0__Img0__"Whatever, I came here to try and be nice. I'm leaving."																							
														Continue	01e0_0																					
								Understanding																												
									"I'm sorry. You're right, this is a lot. Did Name4 ever come to help you?"																											
										Continue																										
											Name1__Img1__"Nope, flaked on me like usual."																									
												Continue																								
													Name0__Img0__"That's rough... Would you like some help?"																							
														Continue																						
															Name1__Img1__"I would love that. Thanks Name0 for understanding."																					
																Continue	01e0_1																			
Name2__Img2__2m0																																				
	"Wake up!"	How much did they drink last night.	I'm pretty sure they were supposed to do something this morning.	Oh shoot, I'm supposed to be at the markets myself!	"Name4, I have to go. Wake up!"																															
		Continue																																		
Name2__Img2__2a0																																				
	This was so much easier together.	They were really good at talking to customers, I just hauled the veggies from our house to here.	I miss you Jenn.	I... Just want you back.																																
		Dispair																																		
			I can't do this. Not without you. I need to get you back!	I'm just so lost. I'm closing up shop for today and going home.																																
				Continue	2a0_0																															
		Love																																		
			Yes, I'm sad having lost you, but we had so many wonderful moments together.	Having our little farm and being independant was your dream.	I want to keep that alive... Even if our farm isn't doing so well...	Maybe I can ask Name1 for tips for next season.	I love you Jenn.																													
				Continue	2a0_1																															
Name2__Img2__2e0																																				
	*Cries* Jenn... Why did you have to leave?	Could I have done something different?	I'm trying my best to bring you back. But it's not working.	Maybe it was all a waste of time...	I'll keep trying Jenn. I need you.																															
		Continue																																		
Name2__Img2__2e1																																				
	We actually did pretty well today.	I hope wherever you are, you are proud of our work.	I still wish I could bring you back though.																																	
		Contemplative																																		
			I might be able to someday.	But I did a good job today. Didn't Name3 say something about how pretty the bluffs were going to be tonight?	Maybe I'll actually go. Try and enjoy the night.	For Jenn.																														
				Continue	2e1_0																															
		Desperate																																		
			I can... I will...	It's only been a month or so, that's not enough time for me to give up on Jenn.																																
				Continue	2e1_1																															
Name2__Img2__2n0																																				
	"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."	"Sem fringilla ut morbi tincidunt augue interdum velit."	"Dui faucibus in ornare quam viverra orci sagittis."	"Vulputate ut pharetra sit amet."	"In hac habitasse platea dictumst."	...........	.... Nothing.... Again																													
		Continue																																		
Name2__Img2__23n0																																				
	"In hac habitasse platea dictumst."	........	"Wait who's there?!"																																	
		Continue																																		
Name2__Img2__23n1																																				
	"Name3? What are you doing here?!"																																			
		Continue																																		
